#Parameters = {a=529; eps_eff=6; r_i=50; r_o=52.9; t=0.1}
#"Frequency / GHz"	"Z1,1 (2) [Real/Imaginary Part] [Re]"	"Z1,1 (2) [Real/Imaginary Part] [Im]"
#---------------------------------------------------------------------------------------------
46.908000946045	0.0022086997955223	-58.077233979894
47.407001495361	0.0010568221738343	-57.375173467304
47.905998229980	0.00033467999773492	-56.687023157144
48.404998779297	-4.1659110335207e-06	-56.012362071237
48.903999328613	3.0975178776187e-05	-55.350752224064
49.402999877930	0.00041712722895945	-54.701850000253
49.902000427246	0.0011314611127351	-54.065249387692
50.401000976563	0.0021488786172308	-53.440599071788
50.900001525879	0.0034494367441696	-52.827562127094
51.398998260498	0.0050195641368809	-52.225777884830
51.897998809814	0.0068405669438774	-51.634949502394
52.396999359131	0.0088873182637980	-51.054754792281
52.895999908447	0.011152987166565	-50.484909278521
53.395000457764	0.013622468389711	-49.925126821409
53.894001007080	0.016274876595136	-49.375108900635
54.393001556396	0.019084177966633	-48.834615289696
54.891998291016	0.022061958998923	-48.303368509913
55.390998840332	0.025173828341331	-47.781135751487
55.889999389648	0.028421598162631	-47.267658355227
56.388999938965	0.031774994532184	-46.762732794873
56.888000488281	0.035235221530574	-46.266119653620
57.387001037598	0.038775163613828	-45.777596063094
57.886001586914	0.042408134778101	-45.296971492581
58.384998321533	0.046102604082717	-44.824029014847
58.883998870850	0.049858581142946	-44.358580372890
59.382999420166	0.053652738083264	-43.900433899216
59.881999969482	0.057493108488737	-43.449404994315
60.381000518799	0.061355989910164	-43.005322958539
60.880001068115	0.065240827170585	-42.568006002077
61.379001617432	0.069139928473840	-42.137305940633
61.877998352051	0.073031603087371	-41.713032726876
62.376998901367	0.076920886061787	-41.295057295274
62.875999450684	0.080798462164447	-40.883210927395
63.375000000000	0.084653240928548	-40.477365349240
63.874000549316	0.088483343903944	-40.077349282423
64.373001098633	0.092273625453261	-39.683046171058
64.872001647949	0.096026094414387	-39.294322472139
65.371002197266	0.099736148413250	-38.911028147617
65.870002746582	0.10338179375713	-38.533061775767
66.369003295898	0.10697757885725	-38.160288584246
66.867996215820	0.11051060355035	-37.792574428361
67.366996765137	0.11397228557749	-37.429825822232
67.865997314453	0.11736544514916	-37.071911496864
68.364997863770	0.12067376551436	-36.718726355249
68.863998413086	0.12391373666582	-36.370183404444
69.362998962402	0.12705972833650	-36.026146851975
69.861999511719	0.13012270806803	-35.686534497392
70.361000061035	0.13309294823490	-35.351237511784
70.860000610352	0.13596805018365	-35.020161488420
71.359001159668	0.13874621141658	-34.693225889745
71.858001708984	0.14142723917836	-34.370316113322
72.357002258301	0.14401310788492	-34.051373041520
72.856002807617	0.14648931257594	-33.736282219557
73.355003356934	0.14886087011822	-33.424972870897
73.853996276855	0.15113207697953	-33.117371068935
74.352996826172	0.15329148963942	-32.813371250008
74.851997375488	0.15534486933262	-32.512923995838
75.350997924805	0.15728876180478	-32.215931338802
75.849998474121	0.15912437072984	-31.922331776817
76.348999023438	0.16084815224305	-31.632042614518
76.847999572754	0.16246964819885	-31.345008421866
77.347000122070	0.16397746653641	-31.061153302027
77.846000671387	0.16537319861638	-30.780399542932
78.345001220703	0.16666493011386	-30.502695668810
78.844001770020	0.16785087015389	-30.227982953101
79.343002319336	0.16892813606712	-29.956173832844
79.842002868652	0.16989583457589	-29.687227675924
80.341003417969	0.17076463354972	-29.421085098432
80.839996337891	0.17153179021505	-29.157690800174
81.338996887207	0.17219278736601	-28.896965503641
81.837997436523	0.17275828193647	-28.638883753151
82.336997985840	0.17322208748577	-28.383381428698
82.835998535156	0.17359866049600	-28.130405261302
83.334999084473	0.17387882027383	-27.879896486459
83.833999633789	0.17406353501108	-27.631819205509
84.333000183105	0.17416064651805	-27.386099466891
84.832000732422	0.17417802769812	-27.142731169075
85.331001281738	0.17410377300273	-26.901636365712
85.830001831055	0.17395425823460	-26.662786686436
86.329002380371	0.17372854924214	-26.426119486602
86.828002929688	0.17341890561753	-26.191605633012
87.327003479004	0.17305181711057	-25.959216296805
87.825996398926	0.17260458398313	-25.728871492234
88.324996948242	0.17209481692100	-25.500573120168
88.823997497559	0.17152771306520	-25.274264695292
89.322998046875	0.17089390421033	-25.049901082769
89.821998596191	0.17021170476476	-24.827466361391
90.320999145508	0.16947326381115	-24.606899058369
90.819999694824	0.16868872353068	-24.388178551024
91.319000244141	0.16785681068305	-24.171267638666
91.818000793457	0.16698419064214	-23.956149362320
92.317001342773	0.16607341240985	-23.742755979600
92.816001892090	0.16512061549652	-23.531089436891
93.315002441406	0.16414701263946	-23.321107668492
93.814002990723	0.16314070695786	-23.112767774825
