# Q2 Parity Data
# [VoltageBias(mV), ParityRate(sec^-1), Uncertainty, FitFidelity]
#-------------------------------------------------------
2.120000000000000000e+02 1.449954913196377504e+02 4.765024863128742183e+00 5.348174143820456639e-01
2.130000000000000000e+02 1.397415960722229045e+02 3.591330390088935065e+00 5.353692689177793618e-01
2.140000000000000000e+02 1.423612872270953744e+02 3.042529693993324180e+00 5.479427703016405138e-01
2.150000000000000000e+02 1.296946759367218078e+02 4.027050819582775887e+00 5.445604164826386429e-01
2.160000000000000000e+02 1.348052062499073713e+02 2.752913693814597274e+00 5.280335830283447995e-01
2.170000000000000000e+02 1.308046946732213769e+02 2.893779176941778442e+00 5.114100389341598163e-01
2.180000000000000000e+02 1.287026746592765392e+02 3.230655662416781482e+00 5.286394996743591923e-01
2.190000000000000000e+02 1.340693214420423089e+02 2.760509979407177905e+00 5.277675411663969030e-01
2.200000000000000000e+02 1.345147522990153561e+02 2.135761390979150853e+00 4.956882491668562207e-01
2.250000000000000000e+02 1.424616063046786962e+02 2.610068344138361418e+00 4.820403103240508136e-01
2.300000000000000000e+02 1.452513942427502229e+02 4.754344653308920421e+00 4.823216588687772033e-01
2.350000000000000000e+02 1.373112616442989520e+02 3.498629955408361969e+00 4.785491935471598568e-01
2.400000000000000000e+02 1.602573139185377897e+02 4.452947290786604562e+00 4.385706128958036798e-01
2.410000000000000000e+02 1.743844730929937441e+02 4.138071813633071194e+00 4.683163340726540502e-01
2.420000000000000000e+02 1.831185899943841378e+02 2.384485054714635233e+00 4.643299507980337415e-01
2.430000000000000000e+02 2.028571266626321972e+02 2.128173151359624704e+00 4.685959506490108839e-01
2.440000000000000000e+02 2.002043629637772995e+02 5.272585422491313345e+00 4.664853237189586221e-01
2.450000000000000000e+02 1.973705673834900267e+02 1.784332970063459145e+00 4.668356198167518123e-01
2.460000000000000000e+02 1.842468912644185082e+02 4.867279023646440272e+00 4.389107384421612745e-01
2.470000000000000000e+02 1.746306728775062709e+02 3.430589898182035746e+00 4.616422870081094976e-01
2.480000000000000000e+02 1.628445681144677053e+02 2.202561920145350349e+00 4.601127442971879589e-01
2.490000000000000000e+02 1.699407626580315025e+02 6.561685988202770048e+00 4.593944237182052137e-01
2.500000000000000000e+02 1.698749873641298507e+02 4.456707205173575659e+00 4.503991258248951080e-01
2.510000000000000000e+02 1.838508199306148185e+02 8.379607408425648885e+00 4.289945562108834487e-01
2.520000000000000000e+02 2.078663176458667294e+02 3.540710736690516391e+00 4.234840408880191087e-01
2.530000000000000000e+02 2.332437648606967855e+02 6.703786098424260764e+00 4.667236360089167535e-01
2.540000000000000000e+02 2.593152848896525029e+02 5.193075018773832596e+00 4.639307475878337028e-01
2.550000000000000000e+02 3.129792017909300057e+02 4.978632364202163707e+00 4.594570885406977778e-01
