Circmon Q4 P1 Data with SFQ testpad rectmon radiator, strong, R=8 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Nov04_QB124_P1PSD_J8Radiator_Sim















# [VoltageBias(mV), P1, std]
#-------------------------------------------------------
3.650000000000000000e+02 5.689000000000000307e-02 1.231780012826965863e-03
3.700000000000000000e+02 5.449999999999999983e-02 9.503515139147199111e-04
3.750000000000000000e+02 5.439000000000000085e-02 1.176625683894414994e-03
3.800000000000000000e+02 5.407000000000000001e-02 1.084701802340163907e-03
3.850000000000000000e+02 5.505000000000000171e-02 1.316632826569351464e-03
3.900000000000000000e+02 5.582999999999999768e-02 1.009748483534389811e-03
3.950000000000000000e+02 5.410999999999999838e-02 1.015405337783882068e-03
4.000000000000000000e+02 5.376000000000000223e-02 1.320875467256470712e-03
4.050000000000000000e+02 5.446999999999999759e-02 9.461088732276005551e-04
4.100000000000000000e+02 5.312999999999999667e-02 1.081873375215417670e-03
4.150000000000000000e+02 5.263000000000000317e-02 1.209152595828996181e-03
4.200000000000000000e+02 5.426999999999999880e-02 1.049346463280836483e-03
4.250000000000000000e+02 5.315999999999999892e-02 1.193596246642892201e-03
4.300000000000000000e+02 5.577000000000000013e-02 1.466539464180899657e-03
4.350000000000000000e+02 5.467999999999999944e-02 1.032375900532359276e-03
4.400000000000000000e+02 5.457999999999999657e-02 1.156826694021191766e-03
4.450000000000000000e+02 5.410000000000000225e-02 1.165311975395430478e-03
4.500000000000000000e+02 5.646999999999999936e-02 1.038032754781851750e-03
4.550000000000000000e+02 5.467000000000000332e-02 1.129956636336103054e-03
4.600000000000000000e+02 5.591999999999999749e-02 1.251579002700189090e-03
4.650000000000000000e+02 5.577000000000000013e-02 9.390378054157350702e-04
4.700000000000000000e+02 5.750999999999999862e-02 1.277034846822904792e-03
4.750000000000000000e+02 5.621999999999999914e-02 1.252993216262562100e-03
4.800000000000000000e+02 5.691999999999999837e-02 1.018233764908628306e-03
4.850000000000000000e+02 5.729000000000000065e-02 1.228951585702219625e-03
4.900000000000000000e+02 5.537000000000000255e-02 1.281277487510024040e-03
4.950000000000000000e+02 5.732999999999999902e-02 1.170968829644922519e-03
5.000000000000000000e+02 5.743000000000000188e-02 1.172383043207295746e-03
5.050000000000000000e+02 5.551999999999999991e-02 1.142684558397460796e-03
5.100000000000000000e+02 6.038000000000000311e-02 1.211981022953742418e-03
5.150000000000000000e+02 5.757999999999999924e-02 1.326532321505962970e-03
5.200000000000000000e+02 5.838000000000000134e-02 1.228951585702219625e-03
5.250000000000000000e+02 5.750000000000000250e-02 1.165311975395430478e-03
5.300000000000000000e+02 5.863999999999999768e-02 1.327946535068336414e-03
5.350000000000000000e+02 5.940999999999999753e-02 1.289762768884262535e-03
5.400000000000000000e+02 5.664000000000000284e-02 1.220466304327981130e-03
5.450000000000000000e+02 5.936000000000000304e-02 1.305319118070366732e-03
5.500000000000000000e+02 5.934999999999999998e-02 1.368958728377155879e-03
5.550000000000000000e+02 6.167999999999999872e-02 1.514622725301584824e-03
5.600000000000000000e+02 5.838000000000000134e-02 1.216223663640861666e-03
5.650000000000000000e+02 6.060999999999999721e-02 1.381686650438513622e-03
5.700000000000000000e+02 5.920000000000000262e-02 1.424113057309706748e-03
5.750000000000000000e+02 5.893999999999999934e-02 1.090358656589656165e-03
5.800000000000000000e+02 6.026999999999999719e-02 1.060660171779821215e-03
5.850000000000000000e+02 5.949000000000000121e-02 1.250164789137816080e-03
5.900000000000000000e+02 6.051000000000000129e-02 9.998489885977780885e-04
5.950000000000000000e+02 6.108000000000000235e-02 1.145512985522206817e-03
6.000000000000000000e+02 6.403999999999999970e-02 1.371787155501902116e-03
6.050000000000000000e+02 6.155000000000000054e-02 1.366130301252409859e-03
6.100000000000000000e+02 6.215999999999999998e-02 1.079044948090671432e-03
6.150000000000000000e+02 6.254999999999999449e-02 1.285520128197143504e-03
6.200000000000000000e+02 6.536999999999999755e-02 1.134199277023222084e-03
6.250000000000000000e+02 6.457999999999999852e-02 1.244507934888323605e-03
6.300000000000000000e+02 6.605999999999999373e-02 1.344917097816813187e-03
6.350000000000000000e+02 6.798999999999999488e-02 1.346331311379186631e-03
6.400000000000000000e+02 6.862999999999999656e-02 1.257235856949681565e-03
6.450000000000000000e+02 6.779999999999999916e-02 1.289762768884262535e-03
6.500000000000000000e+02 6.791999999999999427e-02 1.144098771959833807e-03
6.550000000000000000e+02 7.190000000000000557e-02 1.424113057309706748e-03
6.600000000000000000e+02 7.305999999999999994e-02 1.388757718250379324e-03
6.650000000000000000e+02 7.564999999999999503e-02 1.569777054234135476e-03
6.700000000000000000e+02 7.385999999999999510e-02 1.308147545195112752e-03
6.750000000000000000e+02 7.858999999999999320e-02 1.330774962193082434e-03
6.800000000000000000e+02 7.495000000000000273e-02 1.448154687870049440e-03
6.850000000000000000e+02 7.897999999999999465e-02 1.660286722226013553e-03
6.900000000000000000e+02 8.043000000000000149e-02 1.425527270872079758e-03
6.950000000000000000e+02 8.332000000000000517e-02 1.252993216262562100e-03
7.000000000000000000e+02 8.135000000000000564e-02 1.576848122046000961e-03
7.100000000000000000e+02 8.396000000000000685e-02 1.612203461105328386e-03
7.200000000000000000e+02 8.694000000000000339e-02 1.443912047182929976e-03
7.300000000000000000e+02 9.138000000000000289e-02 1.412799348810722016e-03
7.400000000000000000e+02 9.463000000000000578e-02 1.831406563273157984e-03
7.500000000000000000e+02 9.646000000000000407e-02 1.435426765808691264e-03
7.600000000000000000e+02 9.829999999999999849e-02 1.665943576475506028e-03
7.700000000000000000e+02 1.024800000000000016e-01 1.569777054234135476e-03
7.800000000000000000e+02 1.015299999999999953e-01 1.651801440851774841e-03
7.900000000000000000e+02 1.049999999999999961e-01 1.704127342659579472e-03
8.000000000000000000e+02 1.068500000000000005e-01 1.682914139223983235e-03
8.100000000000000000e+02 1.078599999999999975e-01 1.712612624033817968e-03
8.200000000000000000e+02 1.131500000000000006e-01 1.943129434700632515e-03
8.300000000000000000e+02 1.178700000000000025e-01 1.648973013727028820e-03
8.400000000000000000e+02 1.173199999999999937e-01 1.616446101792447416e-03
8.500000000000000000e+02 1.197899999999999937e-01 1.646144586602282583e-03
8.600000000000000000e+02 1.212600000000000067e-01 2.023739607755899086e-03
8.700000000000000000e+02 1.205200000000000021e-01 1.814436000524680776e-03
8.800000000000000000e+02 1.181799999999999934e-01 1.675843071412117533e-03
8.900000000000000000e+02 1.171399999999999941e-01 1.972827919510467681e-03
9.000000000000000000e+02 1.221700000000000008e-01 1.716855264720937215e-03
9.100000000000000000e+02 1.208700000000000052e-01 2.193445235240670289e-03
9.200000000000000000e+02 1.223500000000000004e-01 1.441083620058183738e-03
9.300000000000000000e+02 1.188899999999999957e-01 1.643316159477536346e-03
9.400000000000000000e+02 1.195399999999999935e-01 1.514622725301584824e-03
9.500000000000000000e+02 1.214100000000000040e-01 1.733825827469414422e-03
9.600000000000000000e+02 1.210699999999999971e-01 1.838477631085023468e-03
9.700000000000000000e+02 1.203899999999999970e-01 1.721097905408056680e-03
9.800000000000000000e+02 1.203700000000000048e-01 1.747967963093145392e-03
9.900000000000000000e+02 1.212199999999999944e-01 1.656044081538894305e-03
1.000000000000000000e+03 1.207000000000000017e-01 1.422698843747333521e-03
1.010000000000000000e+03 1.215999999999999998e-01 1.637659305228044088e-03
1.020000000000000000e+03 1.215900000000000036e-01 1.783323302152472816e-03
1.030000000000000000e+03 1.193099999999999994e-01 1.880904037956216161e-03
1.040000000000000000e+03 1.213800000000000018e-01 2.146776187682358349e-03
1.050000000000000000e+03 1.187399999999999983e-01 1.875247183706723903e-03
1.060000000000000000e+03 1.214599999999999985e-01 1.598061325481597199e-03
1.070000000000000000e+03 1.172900000000000054e-01 2.107178207935911460e-03
1.080000000000000000e+03 1.199500000000000011e-01 1.773423807215861311e-03
1.090000000000000000e+03 1.181200000000000028e-01 1.953028929637244020e-03
1.100000000000000000e+03 1.208199999999999968e-01 1.890803532892828100e-03
1.110000000000000000e+03 1.174800000000000011e-01 2.146776187682358349e-03
1.120000000000000000e+03 1.185599999999999987e-01 1.998283763633183167e-03
