Circmon Q1 Parity Data with SFQ testpad rectmon radiator, weak, R=16 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Nov12_QB12_PSD_J6Radiator_Sim
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Nov16_QB4_PSD_J6Radiator_Sim
Fitting method Chris' no white noise verison













# [VoltageBias(mV), ParityRate(sec^-1)]
#-------------------------------------------------------
5.250000000000000000e+02 5.112430000000000291e+03
5.300000000000000000e+02 6.392960000000000036e+03
5.350000000000000000e+02 6.664020000000000437e+03
5.400000000000000000e+02 5.807010000000000218e+03
5.450000000000000000e+02 8.712340000000000146e+03
5.500000000000000000e+02 5.562970000000000255e+03
5.550000000000000000e+02 6.059170000000000073e+03
5.600000000000000000e+02 5.850500000000000000e+03
5.650000000000000000e+02 6.664390000000000327e+03
5.700000000000000000e+02 7.159779999999999745e+03
5.750000000000000000e+02 7.547520000000000437e+03
5.800000000000000000e+02 7.821210000000000036e+03
