#Parameters = {a=905; eps_eff=6; r_i=70; r_o=90.5; t=0.1}
#"Frequency / GHz"	"Z1,1 (3) [Real/Imaginary Part] [Re]"	"Z1,1 (3) [Real/Imaginary Part] [Im]"
#---------------------------------------------------------------------------------------------
57.387001037598	0.094815049933303	-40.225360314105
57.886001586914	0.089348588321598	-39.591530783020
58.384998321533	0.084152864210823	-38.965473532484
58.883998870850	0.079237631250860	-38.346982792896
59.382999420166	0.074606258551413	-37.735894710866
59.881999969482	0.070260940646904	-37.131988680747
60.381000518799	0.066211000921566	-36.535113677965
60.880001068115	0.062459301844768	-35.945066861389
61.379001617432	0.059013972164228	-35.361708072867
61.877998352051	0.055880082001529	-34.784872066008
62.376998901367	0.053051834535849	-34.214385526336
62.875999450684	0.050545071967170	-33.650108923670
63.375000000000	0.048357582032784	-33.091892284095
63.874000549316	0.046487331827604	-32.539592354787
64.373001098633	0.044942215841896	-31.993083051929
64.872001647949	0.043728912191617	-31.452224968482
65.371002197266	0.042838340935829	-30.916871819045
65.870002746582	0.042283433458377	-30.386922660567
